Event ID,Ticket Number,Incident ID,Charger,Serial / Main Asset,Outlet,Fault Codes,Suggested Failure Date,Failure Date Source,Ticket Created,First CableTempSensor Evidence Date,Template yyyy-mm-dd (Review Only),Suggested Label,Confidence Reason,Final Label,Manual Failure Date,Possible Duplicate <=30d,Duplicate Group,Another Event <=90d,Title,Description,Root Cause,Solution,Repair Completed,Repair Evidence Date,Repair Evidence,Fault Flags,Multi-Fault Ticket,Other DC Fault Codes,Match Locations,First CableTempSensor Evidence,Match Count,JSON File
0482573_DC1,0482573,af90fb15-3019-f111-8342-7ced8d44d1ac,Xux2b5,MP / P9 170000892,DC1,DC1_CABLETEMPSENSOR_XD100,2026-03-06T07:42:57Z,ticket_created,2026-03-06T07:42:57Z,2026-03-06T07:42:57Z,,POSITIVE_MEDIUM,exact CableTempSensor fault code in title/description,,,,,,ID0482573-DC/Si-D/FR-[MP / P9 170000892] DC1_CableTempSensor_XD100,Reported behaviour/issue: Rising Temperature Errors on CCS #1.,,,No,,,,No,,additional_info[6].subject; title,ID0482573-DC/Si-D/FR-[MP / P9 170000892] DC1_CableTempSensor_XD100 Reported behaviour/issue: Rising Temperature Errors on CCS #1.,2,af90fb15-3019-f111-8342-7ced8d44d1ac.json
0481235_DC2,0481235,ddd0e671-931f-41b1-abf7-a1d8c8fe1186,ywghBS,MP / R0 170002833,DC2,DC2_CABLETEMPSENSOR_XD101,2026-03-06T06:37:09Z,additional_info,2026-02-27T13:19:36Z,2026-03-06T06:37:09Z,,REVIEW,diagnostic fault flags,,,,,,ID0481235-DC/Si-D/DE-[MP / R0 170002833] Charging processes are interrupted,Reported behaviour/issue: Charging processes are interrupted for no reason,,,No,,,VIV:0; PLE:1; KON:1,No,,additional_info[7].body,"Semih [CTD] |Outlet=DC2|CableName=EV-T2M4CC-DC|EventType=Error|Tdiff(degC)=25.9|Contact1(degC)=54.9|Contact2(degC)=29.0|Power(kW)=0.0|Current(A)=0.0|Energy(kWh)=4.6| DC2: Charging Cable Sensor Validation Error, see other logs for details PLC-Error-Flag 'DC2_CableTempSensor_XD101' initial value true - (VIV:0 PLE:1 KON:1) [4322] [DCC] DC2: Charging Phase ""P06_CHARGE"" --> ""P07_STOP_CHARGE"" 1x 8EM5903-0AA02-6AA2 1 DC CHARGING CABLE 8EM5903-0AA02-6AA2 -XD100, -XD101 Charging Cable CCS2 250A 1000V 5,82m CCS 250 A / 400 A (Boost) 5 m",1,ddd0e671-931f-41b1-abf7-a1d8c8fe1186.json
0482480_UNKNOWN,0482480,0a9c59de-5fc2-46c8-9d71-999298191d6c,9r8xnh,MP / S3 170003352,,,2026-03-05T16:56:44Z,additional_info,2026-03-05T16:01:07Z,2026-03-05T16:56:44Z,,REVIEW,sensor/troubleshooting evidence,,,,,,ID0482480-DC/Si-D/DK- [MP / S3 170003352] Temp Sensor Issue,Reported Behavior/Issue: Temp Sensor Issue,,,No,,,,No,,additional_info[5].body,"L3 escalation Following the directions of L3, we have to send all the CableTempSensor ticket to L3.",1,0a9c59de-5fc2-46c8-9d71-999298191d6c.json
0482374_UNKNOWN,0482374,643879b1-6b5b-4066-b307-9d9d2467eee9,fDzl60,MP / S6 170003725,,,2026-03-05T12:49:34Z,additional_info,2026-03-05T11:23:52Z,2026-03-05T12:49:34Z,,REVIEW,sensor/troubleshooting evidence,,,,,,ID0482374-DC/Si-D/DE - [MP / S6 170003725] Repeated Status Faulted,"Reported Behavior/Issue: Repeated Status Faulted
Solution:",,,No,,,,No,,additional_info[4].body,"L3 escalation Following the directions of L3, we have to send all tickets regarding CableTempSensor to L3.",1,643879b1-6b5b-4066-b307-9d9d2467eee9.json
0482373_UNKNOWN,0482373,2494a376-8518-f111-8342-000d3ab124a4,08RTy5,Y2 / PN 312571675/06,,,2026-03-05T12:27:58Z,additional_info,2026-03-05T11:21:41Z,2026-03-05T12:27:58Z,,REVIEW,CableTempSensor appears only in timeline content,,,,,,ID0482373-DC/Si-D/FR- [Y2 / PN 312571675/06] DC1 Connector Replacement,Reported behavior/Issue: DC1 Connector Replacement,,,No,,,,No,,additional_info[4].body,Suspected Root Cause : Problem Description : _CableTempSensor_XD100 Action Performed (L2) : Charger SW Version: v8.1.4-0-g5b0f2d0 Reason for Handover (L3) : Fault history :af Log analysis with timestamp : Attachement,1,2494a376-8518-f111-8342-000d3ab124a4.json
0482371_UNKNOWN,0482371,f97e8b2c-8518-f111-8342-000d3ab12a27,F08dg8,Y2 / PN 312562229/02,,,2026-03-05T12:25:02Z,additional_info,2026-03-05T11:19:33Z,2026-03-05T12:25:02Z,,REVIEW,CableTempSensor appears only in timeline content,,,,,,ID0482371-DC/Si-D/FR- [Y2 / PN 312562229/02] DC2 Sensor Replacement,Reported behavior/Issue: DC2 Sensor Replacement,,,No,,,,No,,additional_info[4].body,Suspected Root Cause : Problem Description : _CableTempSensor_XD100 Action Performed (L2) : Charger SW Version: v8.1.4-0-g5b0f2d0 Reason for Handover (L3) : Fault history :af Log analysis with timestamp : Attachement,1,f97e8b2c-8518-f111-8342-000d3ab12a27.json
0482376_DC2,0482376,3352d1ed-8518-f111-8341-6045bddfa615,pRRz0u,Y2 / P8 312547889/13,DC2,DC2_CABLETEMPSENSOR_XD101; DC2_CABLETEMPSENSOR_XD100,2026-03-05T11:25:03Z,ticket_created,2026-03-05T11:25:03Z,2026-03-05T11:25:03Z,,POSITIVE_MEDIUM,exact CableTempSensor fault code in title/description,,,,,,ID0482376-DC/Si-D/FR-[Y2 / P8 312547889/13] DC2_CableTempSensor_XD101,"Reported behaviour/issue:
“DC2_CableTempSensor_XD101” and
“DC2_CableTempSensor_XD100”
Solution: NA
yyyy-mm-dd: NA",,NA,No,,,,No,,additional_info[11].body; additional_info[11].subject; additional_info[12].subject; additional_info[4].body; additional_info[5].subject; additional_info[6].subject; additional_info[8].body; additional_info[8].subject; additional_info[9].subject; description; title,ID0482376-DC/Si-D/FR-[Y2 / P8 312547889/13] DC2_CableTempSensor_XD101 Reported behaviour/issue: “DC2_CableTempSensor_XD101” and “DC2_CableTempSensor_XD100” Solution: NA yyyy-mm-dd: NA,11,3352d1ed-8518-f111-8341-6045bddfa615.json
0482266_DC2,0482266,96e453c8-6618-f111-8342-7ced8d44dfaf,ovPnwz,MP / P0 170001112,DC2,DC2_CABLETEMPSENSOR_XD101,2026-03-05T07:41:59Z,ticket_created,2026-03-05T07:41:59Z,2026-03-05T07:41:59Z,,POSITIVE_MEDIUM,exact CableTempSensor fault code in title/description,,,Yes,DUP_0011,Yes,ID0482266-DC/Si-D/FR-[MP / P0 170001112] DC2_CableTempSensor_XD101,Reported behaviour/issue: Temperature errors on CCS #3.,,,No,,,,No,,additional_info[6].subject; title,ID0482266-DC/Si-D/FR-[MP / P0 170001112] DC2_CableTempSensor_XD101 Reported behaviour/issue: Temperature errors on CCS #3.,2,96e453c8-6618-f111-8342-7ced8d44dfaf.json
0482040_UNKNOWN,0482040,51fb9d1f-ad17-f111-8342-7ced8d44d1ac,2cb4QG,Y2 / PN 312562229/01,,,2026-03-04T11:58:56Z,additional_info,2026-03-04T09:32:56Z,2026-03-04T11:58:56Z,,REVIEW,CableTempSensor appears only in timeline content,,,,,,ID0482040-DC/Si-D/FR-[Y2 / PN 312562229/01] Temperature errors,"Reported behavior/issue-
Temperature errors",,,No,,,,No,,additional_info[4].body,"Cable TempSensor Dear L3 Team, Can you please check CableTempSensor Issue in DC2",1,51fb9d1f-ad17-f111-8342-7ced8d44d1ac.json
0482049_UNKNOWN,0482049,cb0f2c0e-af17-f111-8342-000d3ab127aa,HJavHd,Y2 / PN 312562229/26,,,2026-03-04T11:15:56Z,additional_info,2026-03-04T09:46:46Z,2026-03-04T11:15:56Z,,REVIEW,failure/error language,,,,,,ID0482049-DC/Si-D/FR- [Y2 / PN 312562229/26] CCS Temperature Failure,Reported Behavior/Issue: CCS Temperature Failure,,,No,,,,No,,additional_info[4].body,CableTemp Sesor Can you please check CableTempSensor Error. Continuously happening in DC2. Customer also provide cable head photo. If need to send for replacement please assign back to me.,1,cb0f2c0e-af17-f111-8342-000d3ab127aa.json
